UID, batch_number, sample_number, V450_irradiance_uW_per_cm_squared, B500_irradiance_uW_per_cm_squared, G550_irradiance_uW_per_cm_squared, Y570_irradiance_uW_per_cm_squared, O600_irradiance_uW_per_cm_squared, R650_irradiance_uW_per_cm_squared, nir610_irradiance_uW_per_cm_squared, nir680_irradiance_uW_per_cm_squared, nir730_irradiance_uW_per_cm_squared, nir760_irradiance_uW_per_cm_squared, nir810_irradiance_uW_per_cm_squared, nir860_irradiance_uW_per_cm_squared,  VIS_sensor_temperature_C,  NIR_sensor_temperature_C, surface_temperature_C, air_temperature_C, relative_humidity_percent, timestamp
6047,1, 20, 46624,57064,52828,50382,46271,40708,70993,71566,51392,55431,60533,61818,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 19, 46624,57064,52822,50365,46306,40692,70993,71566,51392,55582,60533,61818,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 18, 46604,57014,52699,50305,46248,40651,70993,71566,51392,55459,60533,61868,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 17, 46604,57161,52934,50492,46378,40800,70993,71566,51392,55497,60533,61868,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 16, 46756,57227,52913,50431,46406,40796,70993,71566,51392,55683,60533,62162,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 15, 46672,56993,52827,50379,46356,40722,70993,71566,51392,55656,60533,62162,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 14, 46654,57009,52746,50385,46291,40699,70993,71566,51392,55575,60533,61966,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 13, 46686,56959,52782,50319,46384,40756,70993,71566,51392,55614,60533,62070,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 12, 46736,57142,52887,50407,46343,40723,70993,71566,51392,55637,60533,62070,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 11, 46668,57026,52855,50396,46340,40770,70993,71566,51392,55580,60533,62008,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 10, 46802,57187,53040,50562,46487,40855,70993,71566,51392,55695,60533,62008,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 9, 46819,57266,53096,50597,46436,40768,70993,71566,51392,55803,60533,62284,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 8, 46816,57219,53166,50644,46527,40875,70993,71566,51392,55825,60533,62284,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 7, 46877,57308,53239,50685,46512,40840,70993,71566,51392,55942,60533,62428,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 6, 46877,57350,53234,50704,46554,40919,70993,71566,51392,55984,60533,62428,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 5, 46777,57209,53132,50588,46510,40882,70993,71566,51392,55924,60533,62424,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 4, 46777,57307,53166,50642,46504,40878,70993,71566,51392,55931,60533,62424,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 3, 46937,57371,53256,50716,46605,40914,70993,71566,51392,55940,60533,62447,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 2, 46937,57344,53226,50692,46531,40892,70993,71566,51392,55996,60533,62447,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, 1, 46978,57422,53332,50767,46583,40913,70993,71566,51392,56042,60533,62513,0, 0, 0, 0, 0, 20230901T142917Z
6047,1, average, 46761,57182,53009,50522,46428,40802,70993,71566,51392,55739,60533,62174, 0, 0, 18.5, 28.6, 36, 0.288
6047,1,standard_deviation,115.251,139.344,194.934,147.841,107.357,83.5885,0.0,0.0,0.0,190.88,0.0,234.867,
